draft_age,draft_pick,draft_year,entry,games,played_until,player,player_id,plus_minus,point_share,points,position,team,team_id
18,9,1987,9,156,1995,Bryan Fogarty,fogarbr01,-83,6.8,74,D,Quebec Nordiques,BUF
18,3,1990,3,909,2006,Keith Primeau,primeke02,124,63.4,619,C,Detroit Red Wings,COL
18,5,1989,5,1263,2010,Bill Guerin,gueribi01,51,94.3,856,RW,New Jersey Devils,COL
18,2,1991,2,575,2000,Pat Falloon,fallopa01,-66,25.3,322,RW,San Jose Sharks,COL
18,4,1986,4,637,2000,Zarley Zalapski,zalapza01,-28,51.9,384,D,Pittsburgh Penguins,DET
18,7,1988,7,1273,2008,Martin Gelinas,gelinma01,52,61.5,660,LW,Los Angeles Kings,DAL
18,11,1985,11,1103,2002,Dave Manson,mansoda01,-8,66.5,390,D,Chicago Blackhawks,TOR
,13,1984,13,,,David Quinn,,,,,D,Minnesota North Stars,PIT
18,15,1983,15,895,1998,Bob Errey,erreybo01,57,20.9,382,LW,Pittsburgh Penguins,DAL
18,17,1982,17,1071,2000,Murray Craven,cravemu01,125,55.8,759,LW,Detroit Red Wings,BOS
,20,1981,20,,,Marty Ruff,,,,,D,St. Louis Blues,PHX
18,25,1980,25,819,1998,Craig Muni,municr01,159,42.9,147,D,Toronto Maple Leafs,MTL
20,34,1979,34,450,1988,Ed Hospodar,hospoed01,-45,16.7,68,D,New York Rangers,NJD
18,10,1987,10,406,1999,Jay More,moreja01,-78,14.0,72,D,New York Rangers,BUF
18,1,1992,1,1395,2013,Roman Hamrlik,hamrlro01,-49,114.9,638,D,Tampa Bay Lightning,TBL
18,4,1990,4,1099,2007,Mike Ricci,riccimi01,-20,48.8,605,C,Philadelphia Flyers,COL
18,6,1989,6,69,1994,Adam Bennett,bennead01,-9,2.8,11,D,Chicago Blackhawks,COL
18,3,1991,3,1263,2010,Scott Niedermayer,niedesc01,167,141.0,740,D,New Jersey Devils,COL
18,5,1986,5,255,1995,Shawn Anderson,andersh01,4,13.1,62,D,Buffalo Sabres,DET
18,8,1988,8,1363,2009,Jeremy Roenick,roenije01,153,125.8,1216,C,Chicago Blackhawks,DAL
18,12,1985,12,71,1995,Jose Charbonneau,charbjo01,-6,0.6,22,RW,Montreal Canadiens,TOR
18,14,1984,14,858,1999,Terry Carkner,carknte01,-2,45.4,230,D,New York Rangers,PIT
18,16,1983,16,932,2001,Gerald Diduck,diducge01,88,51.7,212,D,New York Islanders,DAL
18,18,1982,18,1283,2003,Ken Daneyko,daneyke01,78,57.6,178,D,New Jersey Devils,BOS
18,21,1981,21,288,1989,Paul Boutilier,boutipa01,1,17.4,110,D,New York Islanders,PHX
18,26,1980,26,706,1994,Bob McGill,mcgilbo01,-100,21.0,72,D,Toronto Maple Leafs,MTL
20,35,1979,35,157,1986,Pelle Lindbergh,lindbpe01,0,29.0,5,G,Philadelphia Flyers,NJD
18,11,1987,11,508,1998,Yves Racine,racinyv01,-39,31.6,231,D,Detroit Red Wings,BUF
18,2,1992,2,850,2007,Alexei Yashin,yashial01,-83,84.2,781,C,Ottawa Senators,TBL
18,5,1990,5,1733,2018,Jaromir Jagr,jagrja01,322,217.1,1921,RW,Pittsburgh Penguins,COL
18,7,1989,7,467,2000,Doug Zmolek,zmoledo01,-84,13.9,64,D,Minnesota North Stars,COL
18,4,1991,4,819,2004,Scott Lachance,lachasc01,-76,30.8,143,D,New York Islanders,COL
18,6,1986,6,1378,2004,Vincent Damphousse,damphvi01,7,105.4,1205,C,Toronto Maple Leafs,DET
18,9,1988,9,1484,2010,Rod Brind'Amour,brindro01,-39,105.7,1184,C,St. Louis Blues,DAL
18,13,1985,13,830,2000,Derek King,kingde01,9,53.1,612,LW,New York Islanders,TOR
18,15,1984,15,71,1989,Trevor Stienburg,stientr01,-18,-0.7,12,RW,Quebec Nordiques,PIT
18,17,1983,17,112,1991,Alfie Turcotte,turcoal01,-22,1.3,46,C,Montreal Canadiens,DAL
,19,1982,19,,,Alain Heroux,,,,,LW,Montreal Canadiens,BOS
18,22,1981,22,730,1992,Scott Arniel,arniesc01,-11,16.1,338,LW,Winnipeg Jets,PHX
18,27,1980,27,536,1993,Ric Nattress,nattrri01,-4,28.6,164,D,Montreal Canadiens,MTL
19,36,1979,36,23,1985,Doug Morrison,morrido02,3,0.7,10,RW,Boston Bruins,NJD
18,12,1987,12,16,1993,Keith Osborne,osborke01,-3,-0.1,4,RW,St. Louis Blues,BUF
18,1,1993,1,616,2006,Alexandre Daigle,daiglal02,-176,25.8,327,C,Ottawa Senators,OTT
18,3,1992,3,768,2007,Mike Rathje,rathjmi01,26,42.5,180,D,San Jose Sharks,TBL
18,6,1990,6,2,1994,Scott Scissons,scisssc01,0,0.0,0,C,New York Islanders,COL
18,8,1989,8,1,1996,Jason Herter,herteja01,1,0.2,1,D,Vancouver Canucks,COL
18,5,1991,5,839,2010,Aaron Ward,wardaa01,-41,34.0,151,D,Winnipeg Jets,COL
18,7,1986,7,5,1988,Dan Woodley,woodlda01,1,0.2,2,RW,Vancouver Canucks,DET
18,10,1988,10,1451,2014,Teemu Selanne,selante01,95,172.3,1457,RW,Winnipeg Jets,DAL
18,14,1985,14,1109,2004,Calle Johansson,johanca01,57,95.1,535,D,Buffalo Sabres,TOR
18,16,1984,16,44,1985,Roger Belanger,belanro01,-13,-0.6,8,C,Pittsburgh Penguins,PIT
18,18,1983,18,36,1990,Bruce Cassidy,cassibr01,-10,1.9,17,D,Chicago Blackhawks,DAL
18,20,1982,20,21,1989,Jim Playfair,playfji01,9,1.5,6,D,Edmonton Oilers,BOS
18,23,1981,23,616,1994,Claude Loiselle,loisecl01,-128,3.4,209,C,Detroit Red Wings,PHX
19,28,1980,28,424,1990,Steve Ludzik,ludzist01,-18,1.3,139,C,Chicago Blackhawks,MTL
19,37,1979,37,651,1995,Mats Naslund,nasluma01,119,51.2,634,LW,Montreal Canadiens,NJD
18,13,1987,13,241,1998,Dean Chynoweth,chynode01,-22,7.1,22,D,New York Islanders,BUF
18,2,1993,2,1167,2012,Chris Pronger,prongch01,183,139.4,698,D,Hartford Whalers,OTT
18,1,1994,1,1128,2014,Ed Jovanovski,jovaned01,-86,85.2,500,D,Florida Panthers,FLA
18,4,1992,4,453,2003,Todd Warriner,warrito01,-37,9.6,154,LW,Quebec Nordiques,TBL
18,7,1990,7,1291,2010,Darryl Sydor,sydorda01,21,94.0,507,D,Los Angeles Kings,COL
18,9,1989,9,526,2006,Jason Marshall,marshja02,-34,16.9,67,D,St. Louis Blues,COL
18,6,1991,6,708,2011,Peter Forsberg,forsbpe01,238,97.9,885,C,Philadelphia Flyers,COL
18,8,1986,8,506,1996,Pat Elynuik,elynupa01,-33,25.1,342,RW,Winnipeg Jets,DET
18,11,1988,11,45,1994,Chris Govedaris,govedch01,-2,0.0,10,LW,Hartford Whalers,DAL
18,15,1985,15,36,1991,David Latta,lattada01,-12,0.0,12,LW,Quebec Nordiques,TOR
18,17,1984,17,1157,2001,Kevin Hatcher,hatchke01,-26,110.1,677,D,Washington Capitals,PIT
18,19,1983,19,804,1999,Jeff Beukeboom,beukeje01,115,41.5,159,D,Edmonton Oilers,DAL
18,21,1982,21,780,1997,Pat Flatley,flatlpa01,63,33.4,510,RW,New York Islanders,BOS
20,24,1981,24,34,1985,Gary Yaremchuk,yaremga01,-18,-0.9,5,C,Toronto Maple Leafs,PHX
19,29,1980,29,78,1983,Michel Galarneau,galarmi01,-26,-0.9,17,C,Hartford Whalers,MTL
20,38,1979,38,322,1987,Billy Carroll,carrobi01,4,-1.6,84,C,New York Islanders,NJD
18,14,1987,14,1037,2004,Stephane Quintal,quintst01,-89,50.5,243,D,Boston Bruins,BUF
18,1,1995,1,619,2008,Bryan Berard,berarbr01,-98,45.4,323,D,Ottawa Senators,OTT
18,3,1993,3,1092,2009,Chris Gratton,grattch01,-143,46.5,568,C,Tampa Bay Lightning,OTT
18,2,1994,2,713,2007,Oleg Tverdovsky,tverdol01,-21,56.4,317,D,Anaheim Ducks,FLA
19,5,1992,5,863,2007,Darius Kasparaitis,kaspada01,39,37.8,163,D,New York Islanders,TBL
18,8,1990,8,1045,2008,Derian Hatcher,hatchde01,74,77.7,331,D,Minnesota North Stars,COL
18,10,1989,10,1314,2009,Bobby Holik,holikbo01,115,72.1,747,C,Hartford Whalers,COL
18,7,1991,7,107,1997,Alek Stojanov,stojaal01,-12,-2.7,7,RW,Vancouver Canucks,COL
18,9,1986,9,1205,2006,Brian Leetch,leetcbr01,25,146.6,1028,D,New York Rangers,DET
18,12,1988,12,45,1997,Corey Foster,fosteco01,-20,1.2,11,D,New Jersey Devils,DAL
18,16,1985,16,596,2000,Tom Chorske,chorsto01,-2,16.3,237,LW,Montreal Canadiens,TOR
18,18,1984,18,761,2000,Mikael Andersson,andermi01,-1,12.8,264,LW,Buffalo Sabres,PIT
